trdar_nm,year,quarter,sum(is_risky),count(*),average(is_risky)
수유역,2022,2,22,137,0.16058394160583941
수유역,2022,3,30,141,0.2127659574468085
수유역,2022,4,26,164,0.15853658536585366
수유역,2023,1,30,170,0.17647058823529413
수유역,2023,2,8,56,0.14285714285714285
신논현역,2022,1,37,192,0.19270833333333334
신논현역,2022,2,42,195,0.2153846153846154
신논현역,2022,3,38,194,0.1958762886597938
신논현역,2022,4,40,191,0.2094240837696335
신논현역,2023,1,35,201,0.17412935323383086
신논현역,2023,2,11,67,0.16417910447761194
"신림역 5번(신림동주민센터, 신림동별빛거리)",2022,1,4,21,0.19047619047619047
"신림역 5번(신림동주민센터, 신림동별빛거리)",2022,2,3,20,0.15
"신림역 5번(신림동주민센터, 신림동별빛거리)",2022,3,7,22,0.3181818181818182
"신림역 5번(신림동주민센터, 신림동별빛거리)",2022,4,6,24,0.25
"신림역 5번(신림동주민센터, 신림동별빛거리)",2023,1,4,23,0.17391304347826086
"신림역 5번(신림동주민센터, 신림동별빛거리)",2023,2,2,7,0.2857142857142857
신림역(신림),2022,1,10,77,0.12987012987012986
신림역(신림),2022,2,14,76,0.18421052631578946
신림역(신림),2022,3,13,70,0.18571428571428572
신림역(신림),2022,4,16,69,0.2318840579710145
신림역(신림),2023,1,19,70,0.2714285714285714
신림역(신림),2023,2,6,23,0.2608695652173913
신사역,2022,1,25,127,0.1968503937007874
신사역,2022,2,31,134,0.23134328358208955
신사역,2022,3,30,144,0.20833333333333334
신사역,2022,4,28,146,0.1917808219178082
신사역,2023,1,25,143,0.17482517482517482
신사역,2023,2,8,47,0.1702127659574468
신용산역(용산역),2022,1,2,43,0.046511627906976744
신용산역(용산역),2022,2,9,46,0.1956521739130435
신용산역(용산역),2022,3,7,51,0.13725490196078433
신용산역(용산역),2022,4,9,50,0.18
신용산역(용산역),2023,1,6,48,0.125
신용산역(용산역),2023,2,4,16,0.25
신정2동주민센터,2022,1,1,19,0.05263157894736842
신정2동주민센터,2022,2,5,24,0.20833333333333334
신정2동주민센터,2022,3,7,23,0.30434782608695654
신정2동주민센터,2022,4,9,21,0.42857142857142855
신정2동주민센터,2023,1,4,18,0.2222222222222222
신정2동주민센터,2023,2,2,6,0.3333333333333333
"신촌역(신촌역, 신촌로터리)",2022,1,27,158,0.17088607594936708
"신촌역(신촌역, 신촌로터리)",2022,2,35,160,0.21875
"신촌역(신촌역, 신촌로터리)",2022,3,38,164,0.23170731707317074
"신촌역(신촌역, 신촌로터리)",2022,4,42,177,0.23728813559322035
"신촌역(신촌역, 신촌로터리)",2023,1,33,177,0.1864406779661017
"신촌역(신촌역, 신촌로터리)",2023,2,9,57,0.15789473684210525
안암역 3번,2022,1,5,21,0.23809523809523808
안암역 3번,2022,2,5,19,0.2631578947368421
안암역 3번,2022,3,7,18,0.3888888888888889
안암역 3번,2022,4,3,20,0.15
안암역 3번,2023,1,4,18,0.2222222222222222
안암역 3번,2023,2,3,5,0.6
압구정로데오역(압구정로데오),2022,1,15,146,0.10273972602739725
압구정로데오역(압구정로데오),2022,2,15,146,0.10273972602739725
압구정로데오역(압구정로데오),2022,3,20,145,0.13793103448275862
압구정로데오역(압구정로데오),2022,4,19,155,0.12258064516129032
